,Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
0,Train,2,21.99728227,7,28-Feb,0.951211452,0.481436945,0.33649526,2.014941678,0,,0.024043879,,423.172487,-423.653924
1,Test,2,21.99728227,7,16-Jan,0.951211452,0.477448458,0.299569512,1.793829411,0,,0.022182778,,224.1136815,-224.59113
2,Test,2,21.99728227,7,17-Apr,0.951211452,0.438633975,0.320910365,1.921618952,0,,0.025602678,,960.9809089,-961.4195429
3,Train,3,47.09571767,7,28-Feb,-0.439986348,0.4299999,0.299489428,1.793349867,0,,0.02383831,,296.2604725,-296.6904724
4,Test,3,47.09571767,7,16-Jan,-0.439986348,0.453103495,0.284232582,1.70199151,0,,0.022206616,,180.6455803,-181.0986838
5,Test,3,47.09571767,7,17-Apr,-0.439986348,0.431092173,0.315357757,1.8883698,0,,0.026116371,,921.5585667,-921.9896588
6,Train,4,72.90999556,7,28-Feb,1.582984924,0.424583882,0.298118998,1.785143702,0,,0.023769195,,290.8816839,-291.3062677
7,Test,4,72.90999556,7,16-Jan,1.582984924,0.441401213,0.277077886,1.659149015,0,,0.021864737,,150.6851611,-151.1265623
8,Test,4,72.90999556,7,17-Apr,1.582984924,0.42853491,0.313130643,1.875033788,0,,0.025612161,,936.2903545,-936.7188894
9,Train,5,98.43126273,7,28-Feb,0.266046047,0.446525394,0.312826724,1.873213915,0,,0.023702472,,359.6201162,-360.0666416
10,Test,5,98.43126273,7,16-Jan,0.266046047,0.474028793,0.297774407,1.783080283,0,,0.022161133,,202.2570739,-202.7311027
11,Test,5,98.43126273,7,17-Apr,0.266046047,0.422153216,0.308469814,1.847124634,0,,0.025165623,,879.3996266,-879.8217798
12,Train,6,122.9647002,7,28-Feb,0.077613354,0.429667266,0.300272843,1.798040974,0,,0.023971865,,290.8404212,-291.2700885
13,Test,6,122.9647002,7,16-Jan,0.077613354,0.485409658,0.304727682,1.824716657,0,,0.022447347,,248.41467,-248.9000797
14,Test,6,122.9647002,7,17-Apr,0.077613354,0.416895008,0.303491486,1.81731429,0,,0.026470204,,907.8400302,-908.2569252
15,Train,7,148.7638113,7,28-Feb,0.330843687,0.432317466,0.302240274,1.809821999,0,,0.023977853,,307.314502,-307.7468195
16,Test,7,148.7638113,7,16-Jan,0.330843687,0.422229282,0.265965898,1.592610168,0,,0.022049658,,143.8436172,-144.2658465
17,Test,7,148.7638113,7,17-Apr,0.330843687,0.422790545,0.308032523,1.844506124,0,,0.025482313,,888.0906454,-888.513436
18,Train,8,173.7453568,7,28-Feb,0.721102357,0.38828931,0.270816806,1.62165752,0,,0.02290434,,205.9661512,-206.3544405
19,Test,8,173.7453568,7,16-Jan,0.721102357,0.428637152,0.269894222,1.616133067,0,,0.021772255,,155.719938,-156.1485752
20,Test,8,173.7453568,7,17-Apr,0.721102357,0.4064699,0.297587627,1.781961837,0,,0.025834999,,857.5131631,-857.919633
21,Train,9,199.4000883,7,28-Feb,-2.637647867,0.386211815,0.270427976,1.6193292,0,,0.022785057,,222.5880349,-222.9742467
22,Test,9,199.4000883,7,16-Jan,-2.637647867,0.418981638,0.263510544,1.577907446,0,,0.021890272,,121.7557231,-122.1747047
23,Test,9,199.4000883,7,17-Apr,-2.637647867,0.353879431,0.257470367,1.541738726,0,,0.025025386,,657.3032308,-657.6571102
24,Train,10,224.3152878,7,28-Feb,-2.0596416,0.390782487,0.272797247,1.633516449,0,,0.023585582,,215.2466863,-215.6374688
25,Test,10,224.3152878,7,16-Jan,-2.0596416,0.405909585,0.254791518,1.525697713,0,,0.021874231,,98.83747214,-99.24338172
26,Test,10,224.3152878,7,17-Apr,-2.0596416,0.380048227,0.277167043,1.659682892,0,,0.024780946,,712.2212858,-712.601334
27,Train,11,249.0131369,7,28-Feb,0.751967669,0.355565848,0.249062346,1.491391292,0,,0.0227567,,156.7703029,-157.1258688
28,Test,11,249.0131369,7,16-Jan,0.751967669,0.378037068,0.236771302,1.417792226,0,,0.021232729,,58.02041257,-58.39844964
29,Test,11,249.0131369,7,17-Apr,0.751967669,0.39794394,0.29048112,1.739407902,0,,0.025062117,,808.4658731,-808.8638171
30,Train,12,274.9658763,7,28-Feb,-1.010282397,0.367185124,0.25582261,1.531871916,0,,0.023507868,,166.9262166,-167.2934017
31,Test,12,274.9658763,7,16-Jan,-1.010282397,0.373954569,0.234550473,1.40449385,0,,0.021583342,,56.41122459,-56.78517916
32,Test,12,274.9658763,7,17-Apr,-1.010282397,0.371222015,0.269834523,1.615775586,0,,0.025430532,,686.1599767,-686.5311987
33,Train,13,299.6569679,7,28-Feb,-1.054954171,0.356681632,0.249624423,1.494757026,0,,0.023387133,,148.215059,-148.5717406
34,Test,13,299.6569679,7,16-Jan,-1.054954171,0.405743802,0.253526202,1.518120968,0,,0.021730659,,108.487583,-108.8933268
35,Test,13,299.6569679,7,17-Apr,-1.054954171,0.30247018,0.222093007,1.329898243,0,,0.025157149,,519.1378624,-519.4403326
36,Train,14,325.3565476,7,28-Feb,-7.489792824,0.361400763,0.252707495,1.513218534,0,,0.022811266,,167.2521468,-167.6135475
37,Test,14,325.3565476,7,16-Jan,-7.489792824,0.382407321,0.240232388,1.438517295,0,,0.021546985,,43.68847331,-44.07088064
38,Test,14,325.3565476,7,17-Apr,-7.489792824,0.328673049,0.239345243,1.433205048,0,,0.024663712,,556.8205807,-557.1492537
39,Train,15,349.8463848,7,28-Feb,-2.476349831,0.346299368,0.241843051,1.448161985,0,,0.022906218,,157.3375714,-157.6838708
40,Test,15,349.8463848,7,16-Jan,-2.476349831,0.330429511,0.207858036,1.2446589,0,,0.021448548,,41.4026545,-41.73308401
41,Test,15,349.8463848,7,17-Apr,-2.476349831,0.321257413,0.234229939,1.402574482,0,,0.024900212,,568.9366222,-569.2578796
42,Train,16,374.8299255,7,28-Feb,2.822897911,0.308889826,0.215645108,1.291288073,0,,0.022719542,,86.19526665,-86.50415647
43,Test,16,374.8299255,7,16-Jan,2.822897911,0.330955229,0.208243207,1.246965312,0,,0.021247317,,21.39982506,-21.73078029
44,Test,16,374.8299255,7,17-Apr,2.822897911,0.308856826,0.224857094,1.346449663,0,,0.024641233,,472.4801609,-472.7890177
45,Train,17,400.2696574,7,28-Feb,7.976160049,0.279313471,0.195330715,1.169645002,0,,0.022687676,,70.45895374,-70.73826721
46,Test,17,400.2696574,7,16-Jan,7.976160049,0.291964322,0.182086836,1.090340336,0,,0.021054677,,70.71653118,-71.0084955
47,Test,17,400.2696574,7,17-Apr,7.976160049,0.319451582,0.234028474,1.401368107,0,,0.024972043,,514.5597725,-514.8792241
48,Train,18,425.3763027,7,28-Feb,-11.95491123,0.285612443,0.198905645,1.191051765,0,,0.022407313,,48.12658047,-48.41219291
49,Test,18,425.3763027,7,16-Jan,-11.95491123,0.286423591,0.179045521,1.072128867,0,,0.020914804,,84.88050566,-85.16692925
50,Test,18,425.3763027,7,17-Apr,-11.95491123,0.273936439,0.201190282,1.204732228,0,,0.02462412,,375.5018263,-375.7757627
51,Train,19,450.0409355,7,28-Feb,-6.399536133,0.284510677,0.198932588,1.191213102,0,,0.022306377,,81.07089529,-81.35540596
52,Test,19,450.0409355,7,16-Jan,-6.399536133,0.306150052,0.191144526,1.144578,0,,0.021103387,,29.89485643,-30.20100648
53,Test,19,450.0409355,7,17-Apr,-6.399536133,0.290767259,0.212128211,1.27022881,0,,0.024663568,,424.4168852,-424.7076525
54,Train,20,474.8970189,7,28-Feb,3.465822697,0.300916039,0.209311458,1.253362021,0,,0.022651421,,71.16484927,-71.46576531
55,Test,20,474.8970189,7,16-Jan,3.465822697,0.278890209,0.173773707,1.040561117,0,,0.021052204,,57.41091874,-57.68980894
56,Test,20,474.8970189,7,17-Apr,3.465822697,0.266169278,0.194342778,1.163729209,0,,0.024742876,,328.4236297,-328.689799
57,Train,21,500.4976871,7,28-Feb,-7.173909187,0.299688851,0.208846802,1.25057965,0,,0.022436457,,78.05587764,-78.35556649
58,Test,21,500.4976871,7,16-Jan,-7.173909187,0.332364049,0.208093942,1.246071507,0,,0.020998154,,44.18907355,-44.5214376
59,Test,21,500.4976871,7,17-Apr,-7.173909187,0.29643349,0.215475522,1.290272586,0,,0.024756884,,445.9901768,-446.2866103
60,Train,22,525.6051462,7,28-Feb,6.834019661,0.314364394,0.219227716,1.312740815,0,,0.023047678,,91.36193965,-91.67630404
61,Test,22,525.6051462,7,16-Jan,6.834019661,0.273551078,0.171819442,1.028858937,0,,0.02084218,,54.95024053,-55.22379161
62,Test,22,525.6051462,7,17-Apr,6.834019661,0.276135863,0.202232583,1.21097355,0,,0.025237413,,415.0856816,-415.3618175
63,Train,23,550.0582275,7,28-Feb,-8.502103806,0.300569542,0.210198004,1.258670684,0,,0.022533087,,78.28355459,-78.58412413
64,Test,23,550.0582275,7,16-Jan,-8.502103806,0.302559972,0.188979465,1.131613562,0,,0.021066595,,39.93554828,-40.23810825
65,Test,23,550.0582275,7,17-Apr,-8.502103806,0.282192506,0.206551055,1.236832663,0,,0.024961202,,406.6539051,-406.9360976
