Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,2,4.0661461353302,14.0,February 28,-2.362041473388672,0.859907909537546,0.5664876563817375,3.3921416549804615,0.0,,0.024782803492826463,,906.6487628955068,-907.5086708050444
Test,2,4.0661461353302,14.0,January 16,-2.362041473388672,0.8002845908720093,0.5272091782075976,3.156941186871843,0.0,,0.021880178059557043,,216.52419877438481,-217.3244833652568
Test,2,4.0661461353302,14.0,April 17,-2.362041473388672,0.872910977463207,0.5750537800250721,3.4434358085333634,0.0,,0.029428706628742946,,1464.030200937079,-1464.903111914542
Train,3,14.498843669891357,14.0,February 28,-2.2302892208099365,0.8619423764517329,0.5678279166368421,3.4001671654900716,0.0,,0.024266392173300583,,915.8076003011904,-916.6695426776421
Test,3,14.498843669891357,14.0,January 16,-2.2302892208099365,0.8034139020393244,0.5292706968069719,3.169285609622583,0.0,,0.021782115730593358,,207.13184828136735,-207.93526218340668
Test,3,14.498843669891357,14.0,April 17,-2.2302892208099365,0.8948387608323372,0.5894993020078925,3.5299359401670127,0.0,,0.02887224799418142,,1594.5909234097953,-1595.4857621706276
Train,4,24.880499601364136,14.0,February 28,3.113623857498169,0.8975249890264713,0.5912689276821338,3.5405325010906172,0.0,,0.02427199770780397,,1019.8703567064942,-1020.7678816955207
Test,4,24.880499601364136,14.0,January 16,3.113623857498169,0.7719231586195819,0.5085253155403169,3.0450617697024924,0.0,,0.022005092876247457,,129.2365961752144,-130.008519333834
Test,4,24.880499601364136,14.0,April 17,3.113623857498169,0.8891586662665851,0.5857573856667445,3.507529255489487,0.0,,0.029668626015232253,,1543.0445756232964,-1543.933734289563
Train,5,35.11754107475281,14.0,February 28,-2.181487560272217,0.851807085943704,0.5611510191424011,3.3601857433676687,0.0,,0.0251183335080547,,919.786093640816,-920.6379007267598
Test,5,35.11754107475281,14.0,January 16,-2.181487560272217,0.803211620892549,0.5291374386156054,3.1684876563808664,0.0,,0.021913333943705,,219.62188524462337,-220.4250968655159
Test,5,35.11754107475281,14.0,April 17,-2.181487560272217,0.8228367283162437,0.5420660103700705,3.24590425371299,0.0,,0.02961955932014543,,1229.5278063000028,-1230.350643028319
Train,6,45.91968035697937,14.0,February 28,-1.519378900527954,0.8118712992966308,0.5348422366175061,3.2026481234581157,0.0,,0.02424121003904824,,751.7000401059832,-752.5119114052799
Test,6,45.91968035697937,14.0,January 16,-1.519378900527954,0.7597738656568153,0.5005216393084356,2.9971355647211646,0.0,,0.0217864434310624,,168.10279914658543,-168.86257301224225
Test,6,45.91968035697937,14.0,April 17,-1.519378900527954,0.8950577928020237,0.5896435952581383,3.5307999716056164,0.0,,0.029336175698222774,,1607.4620429180475,-1608.3571007108494
Train,7,56.5302836894989,14.0,February 28,2.080698013305664,0.8209516777010857,0.5408241821541673,3.238468156611779,0.0,,0.02395638343903472,,785.8815321786606,-786.7024838563616
Test,7,56.5302836894989,14.0,January 16,2.080698013305664,0.7863656102369522,0.5180396722271061,3.102033965431771,0.0,,0.021958841877583866,,176.91566614796145,-177.7020317581984
Test,7,56.5302836894989,14.0,April 17,2.080698013305664,0.8979976585601056,0.5915803115563629,3.5423970751877927,0.0,,0.028727471755876106,,1640.3715641596827,-1641.269561818243
Train,8,67.31863808631897,14.0,February 28,2.884580373764038,0.8176566182701123,0.5386534723909622,3.2254698945566522,0.0,,0.02478360659693506,,767.2026970699955,-768.0203536882656
Test,8,67.31863808631897,14.0,January 16,2.884580373764038,0.8138421321863942,0.5361405762332475,3.2104226121751265,0.0,,0.02170836978532254,,190.76226983097348,-191.57611196315986
Test,8,67.31863808631897,14.0,April 17,2.884580373764038,0.8641799585831216,0.5693019845498283,3.4089939194600487,0.0,,0.028992713235165384,,1476.684093031242,-1477.548272989825
Train,9,78.11946392059326,14.0,February 28,-2.040220022201538,0.8122814940202899,0.5351124635163265,3.2042662486007556,0.0,,0.024173077829617553,,775.5790666032268,-776.3913480972471
