Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,2,26.79215431213379,7.0,February 28,-1.860888957977295,0.362740205602234,0.25354863885761436,1.518255322500684,0.0,,0.023351346855818137,,172.08000719910982,-172.44274740471204
Test,2,26.79215431213379,7.0,January 16,-1.860888957977295,0.43169910218807717,0.27052366382946597,1.6199021786195562,0.0,,0.02187160401482268,,145.2249672508414,-145.65666635302946
Test,2,26.79215431213379,7.0,April 17,-1.860888957977295,0.40079447242523375,0.29456777991993965,1.763878921676285,0.0,,0.025754291082961876,,816.044281618795,-816.4450760912202
Train,3,57.43107461929321,7.0,February 28,-1.2246081829071045,0.3869992196762785,0.2707089481955362,1.621011665841533,0.0,,0.022932252229764128,,223.04140162882635,-223.42840084850263
Test,3,57.43107461929321,7.0,January 16,-1.2246081829071045,0.4161507905755744,0.26211707780709764,1.5695633401622606,0.0,,0.021623620496347935,,136.4998275261019,-136.9159783166775
Test,3,57.43107461929321,7.0,April 17,-1.2246081829071045,0.35147742011935307,0.25803520236179217,1.5451209722262993,0.0,,0.02494346071064688,,660.1893547433015,-660.5408321634209
Train,4,63.21264433860779,7.0,February 28,-3.6712117195129395,0.37293284943465566,0.26104470151464954,1.563141925237423,0.0,,0.022940623402035034,,205.83057410678484,-206.20350695621948
Test,4,63.21264433860779,7.0,January 16,-3.6712117195129395,0.3969741905133169,0.2488582407766774,1.4901691064471714,0.0,,0.021475316547612946,,99.76416035515635,-100.16113454566967
Test,4,63.21264433860779,7.0,April 17,-3.6712117195129395,0.3897142796831007,0.28526255184745547,1.7081589930985388,0.0,,0.025295489514151597,,784.6976984224287,-785.0874127021118
Train,5,69.04056406021118,7.0,February 28,-3.441600799560547,0.38219868066400614,0.2677695287662943,1.603410351893978,0.0,,0.023145413120668097,,210.8087686166246,-211.1909672972886
Test,5,69.04056406021118,7.0,January 16,-3.441600799560547,0.4237216196031677,0.2660580389485543,1.593161909871582,0.0,,0.022099314901364325,,140.99430503577747,-141.41802665538063
Test,5,69.04056406021118,7.0,April 17,-3.441600799560547,0.36913243611762075,0.2707500024635057,1.6212574997814708,0.0,,0.02508533343790909,,677.5939131889116,-677.9630456250293
Train,6,74.97984528541565,7.0,February 28,-2.4852535724639893,0.35375388696635723,0.24587399532359425,1.472299373195175,0.0,,0.023003995457663975,,140.86194359444653,-141.2156974814129
Test,6,74.97984528541565,7.0,January 16,-2.4852535724639893,0.3718397312112485,0.23309450169594756,1.3957754592571705,0.0,,0.021418537479713895,,75.33080033876462,-75.70264006997587
Test,6,74.97984528541565,7.0,April 17,-2.4852535724639893,0.4187710242396196,0.30591409559939725,1.8318209317329195,0.0,,0.025158480665773884,,889.4803730637503,-889.89914408799
Train,7,80.84037399291992,7.0,February 28,1.7632577419281006,0.34614957947873637,0.24172370052526973,1.447447308534548,0.0,,0.02264819082823974,,139.04864948783936,-139.3947990673181
Test,7,80.84037399291992,7.0,January 16,1.7632577419281006,0.3910851624690319,0.2453494925000906,1.4691586377250927,0.0,,0.021784422006397325,,93.39700528287565,-93.78809044534468
Test,7,80.84037399291992,7.0,April 17,1.7632577419281006,0.3540939631739161,0.2585010513097685,1.5479104868848392,0.0,,0.025310937205835916,,640.6959053134954,-641.0499992766693
Train,8,86.63821911811829,7.0,February 28,-1.6620285511016846,0.31332934212969926,0.21857733664147644,1.3088463271944684,0.0,,0.02231721828525553,,82.0327693788376,-82.3460987209673
Test,8,86.63821911811829,7.0,January 16,-1.6620285511016846,0.4089706301168971,0.2573829494708058,1.5412152662922511,0.0,,0.021874456505535888,,108.68365643107752,-109.09262706119442
Test,8,86.63821911811829,7.0,April 17,-1.6620285511016846,0.3559323720626825,0.260831750025089,1.561866766617301,0.0,,0.02494504238941803,,616.5909650695767,-616.9468974416394
Train,9,92.49082970619202,7.0,February 28,-4.089816093444824,0.37193694121692394,0.26018183054580407,1.5579750332084068,0.0,,0.02371301859247546,,184.5268420247282,-184.89877896594513
Test,9,92.49082970619202,7.0,January 16,-4.089816093444824,0.36968471779237233,0.23132592151158962,1.3851851587520325,0.0,,0.021560617869280856,,38.843345025223925,-39.2130297430163
Test,9,92.49082970619202,7.0,April 17,-4.089816093444824,0.2960154401245738,0.21604803263741937,1.2937007942360443,0.0,,0.024810861477871544,,468.71593114886684,-469.0119465889914
Train,10,98.30533242225647,7.0,February 28,-2.025848627090454,0.3556032864463496,0.24928161970063376,1.4927043095846326,0.0,,0.022981069950063503,,177.929435806205,-178.28503909265135
Test,10,98.30533242225647,7.0,January 16,-2.025848627090454,0.37573186551517496,0.23715455943018868,1.4200871822166972,0.0,,0.021607178301918634,,67.3914879787718,-67.76721984428698
Test,10,98.30533242225647,7.0,April 17,-2.025848627090454,0.3124810101448018,0.22854509158128036,1.3685334825226358,0.0,,0.025223068230030687,,539.4271221246919,-539.7396031348367
Train,11,104.0936222076416,7.0,February 28,6.393400192260742,0.3148240484188918,0.21971075005877114,1.3156332338848562,0.0,,0.022688431450797072,,76.88687457916912,-77.201698627588
Test,11,104.0936222076416,7.0,January 16,6.393400192260742,0.32832455084698914,0.20602308311743267,1.233671156391812,0.0,,0.02136550044318189,,35.46752643871595,-35.795850989562936
Test,11,104.0936222076416,7.0,April 17,6.393400192260742,0.35092705717988437,0.2550451653667972,1.5272165590826188,0.0,,0.02535985425477955,,630.1746589590248,-630.5255860162047
Train,12,109.77617287635803,7.0,February 28,-4.0001630783081055,0.3694459866335415,0.25784347556455106,1.5439729075721604,0.0,,0.023440743623692424,,161.97815236098518,-162.3475983476187
Test,12,109.77617287635803,7.0,January 16,-4.0001630783081055,0.3862570480782731,0.24306475114049206,1.455477551739475,0.0,,0.021610049504953512,,104.03181281283608,-104.41806986091436
Test,12,109.77617287635803,7.0,April 17,-4.0001630783081055,0.34789375250208626,0.2546343088463013,1.5247563403970126,0.0,,0.025567953837526206,,657.5308814509666,-657.8787752034686
