Type,episode,time_steps,Length,Date,Loss,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,extrinsic_reward
Train,2,33.43602180480957,7.0,February 28,-1.3982372283935547,0.5107877152912913,0.3364952601721722,2.0149416776776796,0.0,,0.02404387853349005,,423.172487026303,-423.6832747415943
Test,2,33.43602180480957,7.0,January 16,-1.3982372283935547,0.4694496682556635,0.30926270058657146,1.8518724586022237,0.0,,0.022250203657051385,,246.3163260330016,-246.78577570125725
Test,2,33.43602180480957,7.0,April 17,-1.3982372283935547,0.49504936033054736,0.32612719201262896,1.9528574372013723,0.0,,0.02560267804397944,,987.8642083010859,-988.3592576614164
Train,3,72.65618801116943,7.0,February 28,-2.6285524368286133,0.47123816350002606,0.31044092033335047,1.8589276666667693,0.0,,0.024055417532190742,,327.84786796648734,-328.31910612998735
Test,3,72.65618801116943,7.0,January 16,-2.6285524368286133,0.4584181689162579,0.3019954012189948,1.8083556959221234,0.0,,0.022247963083208082,,219.46610304268978,-219.92452121160605
Test,3,72.65618801116943,7.0,April 17,-2.6285524368286133,0.49648438336210515,0.3270725523529448,1.9585182775625485,0.0,,0.026140722816670278,,981.7023025201553,-982.1987869035174
Train,4,113.05919408798218,7.0,February 28,2.1128063201904297,0.47202767434897414,0.3109610320168783,1.8620421078855018,0.0,,0.023886973126220252,,325.10219167195254,-325.5742193463015
Test,4,113.05919408798218,7.0,January 16,2.1128063201904297,0.46057026180693394,0.3034131507761654,1.8168452142285354,0.0,,0.022136839682453453,,224.07001222070429,-224.53058248251122
Test,4,113.05919408798218,7.0,April 17,2.1128063201904297,0.5128580873697786,0.33785917392802023,2.0231088259162915,0.0,,0.025897599325670043,,1063.1689902291896,-1063.6818483165594
Train,5,152.6516077518463,7.0,February 28,-2.7892937660217285,0.5169175576922327,0.3405334600970531,2.0391225155512167,0.0,,0.023915635108309897,,458.41044087962234,-458.9273584373146
Test,5,152.6516077518463,7.0,January 16,-2.7892937660217285,0.505154113887884,0.3327839724626298,1.9927183979798193,0.0,,0.022620531211493315,,309.82974224339836,-310.33489635728625
Test,5,152.6516077518463,7.0,April 17,-2.7892937660217285,0.5153749359164694,0.33951721616587993,2.033037222550178,0.0,,0.02570457052024709,,1038.2929609933713,-1038.8083359292878
Train,6,194.30172610282898,7.0,February 28,0.7440462112426758,0.5040545671768754,0.33205961624669944,1.9883809356089803,0.0,,0.02431964932217701,,378.49374210107607,-378.99779666825293
Test,6,194.30172610282898,7.0,January 16,0.7440462112426758,0.5241918742122351,0.34532561338636447,2.0678180442297274,0.0,,0.02283847693396348,,361.98173938998167,-362.5059312641939
Test,6,194.30172610282898,7.0,April 17,0.7440462112426758,0.5356906825095094,0.35290076520350366,2.1131782347515204,0.0,,0.02656096229150012,,1144.428151753513,-1144.9638424360226
Train,7,233.57592821121216,7.0,February 28,-5.802857398986816,0.5125601448195266,0.3376628961927455,2.021933510136204,0.0,,0.024232783426657686,,425.7837803046292,-426.29634044944873
Test,7,233.57592821121216,7.0,January 16,-5.802857398986816,0.48393519155719344,0.3188054319134178,1.909014562355795,0.0,,0.022704928143222995,,296.15491750530674,-296.6388526968639
Test,7,233.57592821121216,7.0,April 17,-5.802857398986816,0.5347265329884568,0.35226560555847103,2.109374883583657,0.0,,0.02567961997587773,,1101.9217154366927,-1102.4564419696812
Train,8,274.13198161125183,7.0,February 28,4.053559303283691,0.4894057604564127,0.32240931753933344,1.930594715804392,0.0,,0.02321831216545981,,364.02367423033115,-364.51307999078756
Test,8,274.13198161125183,7.0,January 16,4.053559303283691,0.5071796247268165,0.33411833266027,2.000708578804012,0.0,,0.022418237084539,,322.16938398082743,-322.67656360555424
Test,8,274.13198161125183,7.0,April 17,4.053559303283691,0.5367127545448531,0.3535740828757027,2.1172100771000175,0.0,,0.026066597895283875,,1145.5981671521852,-1146.13487990673
Train,9,313.8706200122833,7.0,February 28,7.161238670349121,0.5092992358243755,0.33551468395530865,2.0090699638042473,0.0,,0.023555916370381142,,428.058490573387,-428.5677898092114
Test,9,313.8706200122833,7.0,January 16,7.161238670349121,0.4890200264719907,0.3221552048158676,1.9290730827297478,0.0,,0.02254961850488456,,277.7868529861078,-278.2758730125798
Test,9,313.8706200122833,7.0,April 17,7.161238670349121,0.5007573106233002,0.3298874590693931,1.9753740064035525,0.0,,0.025483301541570726,,1032.1349421727737,-1032.635699483397
